Date,Price
11-18-2019 18:38:34,4780000
11-16-2019 21:02:32,4790000
11-14-2019 00:23:28,4848000
11-13-2019 01:37:27,4890000
11-12-2019 02:17:26,4849000
11-11-2019 03:27:24,4790000
11-09-2019 06:03:22,4890000
11-08-2019 07:25:21,4960000
11-07-2019 08:44:20,4970000
11-05-2019 10:59:17,4980000
11-04-2019 12:21:17,5024000
11-03-2019 13:42:15,5047000
10-30-2019 19:15:10,4990000
10-28-2019 22:03:08,4940000
10-27-2019 00:25:05,4990000
10-25-2019 03:10:03,4940000
10-22-2019 07:16:00,4990000
10-21-2019 08:32:58,4888000
10-19-2019 11:16:55,4988000
10-18-2019 12:38:55,5049000
10-17-2019 13:42:56,5040000
10-16-2019 14:15:55,5049000
10-13-2019 17:25:48,5085000
10-09-2019 22:56:43,5090000
10-09-2019 00:06:42,5290000
10-07-2019 02:56:40,5390000
10-06-2019 04:21:38,5480000
10-05-2019 05:46:38,5547000
10-02-2019 10:04:34,5560000
09-30-2019 12:57:32,5590000
09-29-2019 14:22:31,5689000
09-26-2019 18:35:27,5680000
09-14-2019 15:17:12,5690000
09-11-2019 20:15:07,5765000
09-10-2019 22:05:07,5690000
09-08-2019 03:47:03,5768000
09-07-2019 05:52:02,5990000
09-06-2019 03:26:01,5690000
09-05-2019 02:55:59,5590000
09-04-2019 04:51:58,5690000
08-26-2019 07:15:41,5580000
08-21-2019 20:54:33,5590000
08-17-2019 10:52:26,5490000
08-16-2019 07:27:24,5290000
08-14-2019 02:15:20,5390000
08-08-2019 13:53:11,5490000
08-06-2019 09:12:08,5890000
08-05-2019 06:54:06,5279000
08-01-2019 23:55:01,5269000
07-31-2019 21:37:58,5219000
07-27-2019 13:12:52,5279000
07-19-2019 22:47:39,5290000
07-16-2019 16:46:34,5349000
07-09-2019 01:11:22,5390000
07-05-2019 20:22:17,5690000
07-03-2019 14:11:13,5695000
07-02-2019 12:23:11,5590000
07-01-2019 10:55:09,5695000
06-25-2019 03:00:59,5390000
06-18-2019 19:06:48,5490000
06-08-2019 13:50:31,5695000
06-07-2019 11:07:29,5790000
06-06-2019 16:42:28,5695000
06-04-2019 20:00:25,5790000
06-03-2019 13:45:31,5690000
05-30-2019 19:19:25,5695000
05-30-2019 11:05:24,5690000
05-28-2019 14:15:21,5790000
01-01-1970 07:00:00,6190000
